N,Size,Min,Max,Sum,Average
0, 16x16,26361,66958,373748,37374
1, 32x32,100912,261235,1332767,133276
2, 48x48,225036,501357,3147476,314747
3, 64x64,399755,1265364,6618772,661877
4, 80x80,624067,1432914,7531260,753126
5, 96x96,897870,2320342,12719272,1271927
6, 112x112,1222166,1839097,14199529,1419952
7, 128x128,1595333,3670038,21922640,2192264
8, 144x144,2074374,3798555,27020567,2702056
9, 160x160,2493633,5419190,30988643,3098864
10, 176x176,3250028,5319452,42342570,4234257
11, 192x192,3742711,5717990,44672941,4467294
12, 208x208,4551312,11599607,57895490,5789549
13, 224x224,5050785,10965586,74310576,7431057
14, 240x240,5733048,8896799,72603371,7260337
15, 256x256,7447345,9860396,87491139,8749113
16, 272x272,7357116,14421703,108740182,10874018
17, 288x288,8281385,11722816,104499842,10449984
18, 304x304,10609934,20466723,132239255,13223925
19, 320x320,10381021,17218711,127830061,12783006
