N,Size,Min,Max,Sum,Average
0, 16x16,28531,61921,429675,42967
1, 32x32,107339,280114,1509029,150902
2, 48x48,255348,493240,3274586,327458
3, 64x64,423491,874336,5817706,581770
4, 80x80,659403,1960769,10494005,1049400
5, 96x96,1013652,1785799,13846509,1384650
6, 112x112,1378242,3661936,18719428,1871942
7, 128x128,1754019,4194970,27165779,2716577
8, 144x144,2160000,4846895,28858242,2885824
9, 160x160,2858767,9860908,39949713,3994971
10, 176x176,3435373,6362697,42297971,4229797
11, 192x192,3968263,6121327,48355374,4835537
12, 208x208,4987985,9852510,69307659,6930765
13, 224x224,5219745,9345795,64970205,6497020
14, 240x240,6496215,9829010,81316470,8131647
15, 256x256,6873677,12119408,94193301,9419330
16, 272x272,8213249,11292788,96559691,9655969
17, 288x288,9106586,17944375,118467748,11846774
18, 304x304,10110413,19798653,133761064,13376106
19, 320x320,11147274,21142121,156520826,15652082
