N, WxH, Clock, Param0
0, 16x16, 14388, 0
0, 16x16, 14472, 0
0, 16x16, 14318, 0
0, 16x16, 14145, 0
0, 16x16, 14530, 0
0, 16x16, 14081, 0
0, 16x16, 14495, 0
0, 16x16, 14535, 0
0, 16x16, 14307, 0
0, 16x16, 15670, 0
0, 16x16, 14590, 0
0, 16x16, 14261, 0
0, 16x16, 14588, 0
0, 16x16, 14787, 0
0, 16x16, 21504, 0
0, 16x16, 14776, 0
0, 16x16, 14576, 0
0, 16x16, 14550, 0
0, 16x16, 14666, 0
0, 16x16, 22678, 0
0, 16x16, 15112, 0
0, 16x16, 14906, 0
0, 16x16, 14744, 0
0, 16x16, 14871, 0
0, 16x16, 15100, 0
0, 16x16, 14142, 0
0, 16x16, 14544, 0
0, 16x16, 14425, 0
0, 16x16, 15701, 0
0, 16x16, 24320, 0
0, 16x16, 14622, 0
0, 16x16, 14669, 0
0, 16x16, 15931, 0
0, 16x16, 21113, 0
0, 16x16, 14799, 0
0, 16x16, 14556, 0
0, 16x16, 14399, 0
0, 16x16, 14368, 0
0, 16x16, 14949, 0
0, 16x16, 14649, 0
0, 16x16, 15094, 0
0, 16x16, 14642, 0
0, 16x16, 14871, 0
0, 16x16, 14825, 0
0, 16x16, 16546, 0
0, 16x16, 14475, 0
0, 16x16, 14547, 0
0, 16x16, 14903, 0
0, 16x16, 14284, 0
0, 16x16, 14749, 0
0, 16x16, 14156, 0
0, 16x16, 21828, 0
0, 16x16, 14330, 0
0, 16x16, 21475, 0
0, 16x16, 14454, 0
0, 16x16, 14495, 0
0, 16x16, 14461, 0
0, 16x16, 14668, 0
0, 16x16, 14680, 0
0, 16x16, 14417, 0
0, 16x16, 14709, 0
0, 16x16, 14385, 0
0, 16x16, 15372, 0
0, 16x16, 21787, 0
0, 16x16, 14429, 0
0, 16x16, 15242, 0
0, 16x16, 15241, 0
0, 16x16, 15274, 0
0, 16x16, 15264, 0
0, 16x16, 51417, 0
0, 16x16, 14723, 0
0, 16x16, 14813, 0
0, 16x16, 14602, 0
0, 16x16, 14877, 0
0, 16x16, 21669, 0
0, 16x16, 22299, 0
0, 16x16, 14637, 0
0, 16x16, 14391, 0
0, 16x16, 14307, 0
0, 16x16, 26655, 0
0, 16x16, 14749, 0
0, 16x16, 14260, 0
0, 16x16, 14174, 0
0, 16x16, 22714, 0
0, 16x16, 14680, 0
0, 16x16, 14695, 0
0, 16x16, 14434, 0
0, 16x16, 21825, 0
0, 16x16, 14362, 0
0, 16x16, 15114, 0
0, 16x16, 14350, 0
0, 16x16, 21831, 0
0, 16x16, 22450, 0
0, 16x16, 14504, 0
0, 16x16, 14570, 0
0, 16x16, 14487, 0
0, 16x16, 18323, 0
0, 16x16, 22369, 0
0, 16x16, 15655, 0
0, 16x16, 15368, 0
1, 16x16, 14562, 0
1, 16x16, 14594, 0
1, 16x16, 14622, 0
1, 16x16, 14932, 0
1, 16x16, 14588, 0
1, 16x16, 14642, 0
1, 16x16, 14877, 0
1, 16x16, 21342, 0
1, 16x16, 15647, 0
1, 16x16, 14515, 0
1, 16x16, 22187, 0
1, 16x16, 15031, 0
1, 16x16, 14530, 0
1, 16x16, 14996, 0
1, 16x16, 21507, 0
1, 16x16, 14590, 0
1, 16x16, 20717, 0
1, 16x16, 14241, 0
1, 16x16, 14214, 0
1, 16x16, 14639, 0
1, 16x16, 14955, 0
1, 16x16, 14339, 0
1, 16x16, 57062, 0
1, 16x16, 14312, 0
1, 16x16, 14903, 0
1, 16x16, 22106, 0
1, 16x16, 14625, 0
1, 16x16, 21683, 0
1, 16x16, 14703, 0
1, 16x16, 26013, 0
1, 16x16, 14767, 0
1, 16x16, 14504, 0
1, 16x16, 14437, 0
1, 16x16, 15137, 0
1, 16x16, 14828, 0
1, 16x16, 21704, 0
1, 16x16, 14633, 0
1, 16x16, 15429, 0
1, 16x16, 15256, 0
1, 16x16, 21547, 0
1, 16x16, 15117, 0
1, 16x16, 15514, 0
1, 16x16, 14594, 0
1, 16x16, 23260, 0
1, 16x16, 14527, 0
1, 16x16, 15221, 0
1, 16x16, 14805, 0
1, 16x16, 14758, 0
1, 16x16, 14637, 0
1, 16x16, 15088, 0
1, 16x16, 14495, 0
1, 16x16, 14920, 0
1, 16x16, 16159, 0
1, 16x16, 14420, 0
1, 16x16, 23504, 0
1, 16x16, 14330, 0
1, 16x16, 14440, 0
1, 16x16, 21489, 0
1, 16x16, 13939, 0
1, 16x16, 21255, 0
1, 16x16, 15152, 0
1, 16x16, 21735, 0
1, 16x16, 21645, 0
1, 16x16, 14411, 0
1, 16x16, 14547, 0
1, 16x16, 21655, 0
1, 16x16, 14955, 0
1, 16x16, 14527, 0
1, 16x16, 14944, 0
1, 16x16, 15271, 0
1, 16x16, 21452, 0
1, 16x16, 15198, 0
1, 16x16, 25356, 0
1, 16x16, 51133, 0
1, 16x16, 15346, 0
1, 16x16, 14362, 0
1, 16x16, 14698, 0
1, 16x16, 14651, 0
1, 16x16, 14967, 0
1, 16x16, 15655, 0
1, 16x16, 14321, 0
1, 16x16, 14483, 0
1, 16x16, 21906, 0
1, 16x16, 21877, 0
1, 16x16, 22603, 0
1, 16x16, 26337, 0
1, 16x16, 21683, 0
1, 16x16, 14318, 0
1, 16x16, 15421, 0
1, 16x16, 14782, 0
1, 16x16, 15033, 0
1, 16x16, 14747, 0
1, 16x16, 21136, 0
1, 16x16, 14321, 0
1, 16x16, 14197, 0
1, 16x16, 21833, 0
1, 16x16, 14515, 0
1, 16x16, 14246, 0
1, 16x16, 14584, 0
1, 16x16, 14452, 0
2, 32x32, 34682, 0
2, 32x32, 35622, 0
2, 32x32, 34326, 0
2, 32x32, 41367, 0
2, 32x32, 34462, 0
2, 32x32, 35313, 0
2, 32x32, 34323, 0
2, 32x32, 34147, 0
2, 32x32, 34659, 0
2, 32x32, 34551, 0
2, 32x32, 45213, 0
2, 32x32, 34103, 0
2, 32x32, 35391, 0
2, 32x32, 35405, 0
2, 32x32, 34934, 0
2, 32x32, 41716, 0
2, 32x32, 34595, 0
2, 32x32, 41870, 0
2, 32x32, 34445, 0
2, 32x32, 34702, 0
2, 32x32, 34523, 0
2, 32x32, 34291, 0
2, 32x32, 34885, 0
2, 32x32, 45994, 0
2, 32x32, 247734, 0
2, 32x32, 34540, 0
2, 32x32, 35061, 0
2, 32x32, 35069, 0
2, 32x32, 34428, 0
2, 32x32, 41633, 0
2, 32x32, 34173, 0
2, 32x32, 34387, 0
2, 32x32, 34286, 0
2, 32x32, 34792, 0
2, 32x32, 34344, 0
2, 32x32, 34905, 0
2, 32x32, 42932, 0
2, 32x32, 79237, 0
2, 32x32, 34063, 0
2, 32x32, 34311, 0
2, 32x32, 33970, 0
2, 32x32, 41121, 0
2, 32x32, 34138, 0
2, 32x32, 41335, 0
2, 32x32, 34612, 0
2, 32x32, 42041, 0
2, 32x32, 35431, 0
2, 32x32, 40788, 0
2, 32x32, 41926, 0
2, 32x32, 41010, 0
2, 32x32, 34201, 0
2, 32x32, 34720, 0
2, 32x32, 75715, 0
2, 32x32, 44761, 0
2, 32x32, 34323, 0
2, 32x32, 35562, 0
2, 32x32, 34500, 0
2, 32x32, 34392, 0
2, 32x32, 34737, 0
2, 32x32, 34557, 0
2, 32x32, 41717, 0
2, 32x32, 34288, 0
2, 32x32, 41355, 0
2, 32x32, 34257, 0
2, 32x32, 33999, 0
2, 32x32, 41778, 0
2, 32x32, 34625, 0
2, 32x32, 33988, 0
2, 32x32, 34543, 0
2, 32x32, 45363, 0
2, 32x32, 41578, 0
2, 32x32, 34913, 0
2, 32x32, 34164, 0
2, 32x32, 34164, 0
2, 32x32, 36062, 0
2, 32x32, 34381, 0
2, 32x32, 34526, 0
2, 32x32, 41723, 0
2, 32x32, 36060, 0
2, 32x32, 34248, 0
2, 32x32, 34007, 0
2, 32x32, 35538, 0
2, 32x32, 34216, 0
2, 32x32, 34063, 0
2, 32x32, 34586, 0
2, 32x32, 34494, 0
2, 32x32, 34858, 0
2, 32x32, 34375, 0
2, 32x32, 34706, 0
2, 32x32, 34433, 0
2, 32x32, 78919, 0
2, 32x32, 75707, 0
2, 32x32, 79834, 0
2, 32x32, 34271, 0
2, 32x32, 34459, 0
2, 32x32, 34263, 0
2, 32x32, 34187, 0
2, 32x32, 41106, 0
2, 32x32, 34992, 0
2, 32x32, 41327, 0
3, 48x48, 68615, 0
3, 48x48, 69275, 0
3, 48x48, 68366, 0
3, 48x48, 67833, 0
3, 48x48, 67616, 0
3, 48x48, 68441, 0
3, 48x48, 67488, 0
3, 48x48, 68036, 0
3, 48x48, 67825, 0
3, 48x48, 68429, 0
3, 48x48, 68925, 0
3, 48x48, 110693, 0
3, 48x48, 67671, 0
3, 48x48, 67990, 0
3, 48x48, 68513, 0
3, 48x48, 111767, 0
3, 48x48, 75493, 0
3, 48x48, 75024, 0
3, 48x48, 75733, 0
3, 48x48, 68380, 0
3, 48x48, 68065, 0
3, 48x48, 75012, 0
3, 48x48, 76208, 0
3, 48x48, 75412, 0
3, 48x48, 68568, 0
3, 48x48, 68369, 0
3, 48x48, 68441, 0
3, 48x48, 68545, 0
3, 48x48, 68632, 0
3, 48x48, 68074, 0
3, 48x48, 110080, 0
3, 48x48, 68427, 0
3, 48x48, 68745, 0
3, 48x48, 75062, 0
3, 48x48, 68481, 0
3, 48x48, 68328, 0
3, 48x48, 68232, 0
3, 48x48, 67883, 0
3, 48x48, 136150, 0
3, 48x48, 75658, 0
3, 48x48, 68916, 0
3, 48x48, 75222, 0
3, 48x48, 68357, 0
3, 48x48, 68383, 0
3, 48x48, 68319, 0
3, 48x48, 75560, 0
3, 48x48, 68079, 0
3, 48x48, 68128, 0
3, 48x48, 69309, 0
3, 48x48, 59155, 0
3, 48x48, 68545, 0
3, 48x48, 79255, 0
3, 48x48, 67903, 0
3, 48x48, 74668, 0
3, 48x48, 68936, 0
3, 48x48, 67891, 0
3, 48x48, 67929, 0
3, 48x48, 68007, 0
3, 48x48, 67967, 0
3, 48x48, 67998, 0
3, 48x48, 69538, 0
3, 48x48, 67938, 0
3, 48x48, 68467, 0
3, 48x48, 67750, 0
3, 48x48, 75502, 0
3, 48x48, 68826, 0
3, 48x48, 68061, 0
3, 48x48, 68571, 0
3, 48x48, 67587, 0
3, 48x48, 114146, 0
3, 48x48, 68271, 0
3, 48x48, 69087, 0
3, 48x48, 68053, 0
3, 48x48, 68230, 0
3, 48x48, 67793, 0
3, 48x48, 68698, 0
3, 48x48, 75264, 0
3, 48x48, 75337, 0
3, 48x48, 75149, 0
3, 48x48, 74963, 0
3, 48x48, 68253, 0
3, 48x48, 67637, 0
3, 48x48, 68501, 0
3, 48x48, 68155, 0
3, 48x48, 112073, 0
3, 48x48, 75380, 0
3, 48x48, 62202, 0
3, 48x48, 68076, 0
3, 48x48, 81124, 0
3, 48x48, 75482, 0
3, 48x48, 67958, 0
3, 48x48, 68441, 0
3, 48x48, 83648, 0
3, 48x48, 68803, 0
3, 48x48, 68241, 0
3, 48x48, 74761, 0
3, 48x48, 68042, 0
3, 48x48, 68126, 0
3, 48x48, 67865, 0
3, 48x48, 75236, 0
4, 64x64, 115433, 0
4, 64x64, 156276, 0
4, 64x64, 123432, 0
4, 64x64, 116058, 0
4, 64x64, 115656, 0
4, 64x64, 123466, 0
4, 64x64, 117621, 0
4, 64x64, 115355, 0
4, 64x64, 115784, 0
4, 64x64, 115842, 0
4, 64x64, 115335, 0
4, 64x64, 114090, 0
4, 64x64, 124992, 0
4, 64x64, 164286, 0
4, 64x64, 115117, 0
4, 64x64, 162902, 0
4, 64x64, 116104, 0
4, 64x64, 115708, 0
4, 64x64, 159242, 0
4, 64x64, 115760, 0
4, 64x64, 116032, 0
4, 64x64, 115479, 0
4, 64x64, 135638, 0
4, 64x64, 116275, 0
4, 64x64, 115636, 0
4, 64x64, 116162, 0
4, 64x64, 116464, 0
4, 64x64, 116382, 0
4, 64x64, 115462, 0
4, 64x64, 126627, 0
4, 64x64, 125828, 0
4, 64x64, 115729, 0
4, 64x64, 116018, 0
4, 64x64, 126678, 0
4, 64x64, 115899, 0
4, 64x64, 115943, 0
4, 64x64, 111251, 0
4, 64x64, 30813, 0
4, 64x64, 122613, 0
4, 64x64, 157055, 0
4, 64x64, 116059, 0
4, 64x64, 116458, 0
4, 64x64, 116432, 0
4, 64x64, 116096, 0
4, 64x64, 123148, 0
4, 64x64, 115716, 0
4, 64x64, 116400, 0
4, 64x64, 116787, 0
4, 64x64, 169040, 0
4, 64x64, 123434, 0
4, 64x64, 115752, 0
4, 64x64, 116281, 0
4, 64x64, 122651, 0
4, 64x64, 115042, 0
4, 64x64, 116374, 0
4, 64x64, 116918, 0
4, 64x64, 115838, 0
4, 64x64, 123024, 0
4, 64x64, 115708, 0
4, 64x64, 157587, 0
4, 64x64, 115668, 0
4, 64x64, 116290, 0
4, 64x64, 116218, 0
4, 64x64, 116532, 0
4, 64x64, 122807, 0
4, 64x64, 115473, 0
4, 64x64, 122789, 0
4, 64x64, 122621, 0
4, 64x64, 116706, 0
4, 64x64, 115899, 0
4, 64x64, 115630, 0
4, 64x64, 123383, 0
4, 64x64, 115454, 0
4, 64x64, 115705, 0
4, 64x64, 115853, 0
4, 64x64, 116347, 0
4, 64x64, 115210, 0
4, 64x64, 177199, 0
4, 64x64, 122821, 0
4, 64x64, 122563, 0
4, 64x64, 115595, 0
4, 64x64, 122972, 0
4, 64x64, 124780, 0
4, 64x64, 126789, 0
4, 64x64, 115277, 0
4, 64x64, 122905, 0
4, 64x64, 115456, 0
4, 64x64, 117187, 0
4, 64x64, 115482, 0
4, 64x64, 115572, 0
4, 64x64, 156890, 0
4, 64x64, 156360, 0
4, 64x64, 115662, 0
4, 64x64, 115453, 0
4, 64x64, 115514, 0
4, 64x64, 126771, 0
4, 64x64, 116399, 0
4, 64x64, 115923, 0
4, 64x64, 115907, 0
4, 64x64, 412067, 0
5, 80x80, 177439, 0
5, 80x80, 227515, 0
5, 80x80, 178663, 0
5, 80x80, 192654, 0
5, 80x80, 178413, 0
5, 80x80, 184349, 0
5, 80x80, 184875, 0
5, 80x80, 177262, 0
5, 80x80, 178048, 0
5, 80x80, 177823, 0
5, 80x80, 191126, 0
5, 80x80, 177204, 0
5, 80x80, 554779, 0
5, 80x80, 179357, 0
5, 80x80, 177446, 0
5, 80x80, 177548, 0
5, 80x80, 187204, 0
5, 80x80, 184890, 0
5, 80x80, 186825, 0
5, 80x80, 188848, 0
5, 80x80, 178789, 0
5, 80x80, 184912, 0
5, 80x80, 177502, 0
5, 80x80, 188880, 0
5, 80x80, 57671, 0
5, 80x80, 221447, 0
5, 80x80, 178080, 0
5, 80x80, 177869, 0
5, 80x80, 178388, 0
5, 80x80, 177105, 0
5, 80x80, 177575, 0
5, 80x80, 176975, 0
5, 80x80, 178512, 0
5, 80x80, 178445, 0
5, 80x80, 177887, 0
5, 80x80, 218417, 0
5, 80x80, 223953, 0
5, 80x80, 189688, 0
5, 80x80, 177777, 0
5, 80x80, 177345, 0
5, 80x80, 178208, 0
5, 80x80, 177536, 0
5, 80x80, 177936, 0
5, 80x80, 176926, 0
5, 80x80, 178425, 0
5, 80x80, 177991, 0
5, 80x80, 224813, 0
5, 80x80, 185312, 0
5, 80x80, 27376, 0
5, 80x80, 181209, 0
5, 80x80, 184444, 0
5, 80x80, 177560, 0
5, 80x80, 184594, 0
5, 80x80, 177502, 0
5, 80x80, 177583, 0
5, 80x80, 360565, 0
5, 80x80, 218594, 0
5, 80x80, 177311, 0
5, 80x80, 180558, 0
5, 80x80, 229581, 0
5, 80x80, 222428, 0
5, 80x80, 177618, 0
5, 80x80, 177490, 0
5, 80x80, 177372, 0
5, 80x80, 178179, 0
5, 80x80, 217772, 0
5, 80x80, 184082, 0
5, 80x80, 185801, 0
5, 80x80, 184762, 0
5, 80x80, 177218, 0
5, 80x80, 178220, 0
5, 80x80, 176906, 0
5, 80x80, 186539, 0
5, 80x80, 178370, 0
5, 80x80, 185480, 0
5, 80x80, 177175, 0
5, 80x80, 186270, 0
5, 80x80, 220677, 0
5, 80x80, 184436, 0
5, 80x80, 225978, 0
5, 80x80, 177007, 0
5, 80x80, 177314, 0
5, 80x80, 177177, 0
5, 80x80, 177406, 0
5, 80x80, 178054, 0
5, 80x80, 178367, 0
5, 80x80, 424388, 0
5, 80x80, 177598, 0
5, 80x80, 176958, 0
5, 80x80, 184959, 0
5, 80x80, 186661, 0
5, 80x80, 178133, 0
5, 80x80, 180005, 0
5, 80x80, 177151, 0
5, 80x80, 184638, 0
5, 80x80, 221974, 0
5, 80x80, 179146, 0
5, 80x80, 240607, 0
5, 80x80, 178037, 0
5, 80x80, 184088, 0
6, 96x96, 257338, 0
6, 96x96, 257191, 0
6, 96x96, 257512, 0
6, 96x96, 266679, 0
6, 96x96, 298818, 0
6, 96x96, 257668, 0
6, 96x96, 259721, 0
6, 96x96, 256795, 0
6, 96x96, 256945, 0
6, 96x96, 257721, 0
6, 96x96, 259587, 0
6, 96x96, 258091, 0
6, 96x96, 265152, 0
6, 96x96, 389984, 0
6, 96x96, 258719, 0
6, 96x96, 257495, 0
6, 96x96, 257194, 0
6, 96x96, 258403, 0
6, 96x96, 257735, 0
6, 96x96, 269099, 0
6, 96x96, 257929, 0
6, 96x96, 275164, 0
6, 96x96, 265725, 0
6, 96x96, 518847, 0
6, 96x96, 265852, 0
6, 96x96, 258028, 0
6, 96x96, 257784, 0
6, 96x96, 256939, 0
6, 96x96, 307361, 0
6, 96x96, 261847, 0
6, 96x96, 266642, 0
6, 96x96, 258867, 0
6, 96x96, 265372, 0
6, 96x96, 302282, 0
6, 96x96, 264622, 0
6, 96x96, 257894, 0
6, 96x96, 257515, 0
6, 96x96, 299750, 0
6, 96x96, 258114, 0
6, 96x96, 267206, 0
6, 96x96, 267206, 0
6, 96x96, 257206, 0
6, 96x96, 256641, 0
6, 96x96, 274603, 0
6, 96x96, 259237, 0
6, 96x96, 258074, 0
6, 96x96, 300364, 0
6, 96x96, 301489, 0
6, 96x96, 307768, 0
6, 96x96, 299681, 0
6, 96x96, 264370, 0
6, 96x96, 301825, 0
6, 96x96, 258661, 0
6, 96x96, 258123, 0
6, 96x96, 268517, 0
6, 96x96, 256678, 0
6, 96x96, 259541, 0
6, 96x96, 259017, 0
6, 96x96, 535225, 0
6, 96x96, 258490, 0
6, 96x96, 257529, 0
6, 96x96, 303211, 0
6, 96x96, 545273, 0
6, 96x96, 257842, 0
6, 96x96, 276029, 0
6, 96x96, 258071, 0
6, 96x96, 393230, 0
6, 96x96, 303483, 0
6, 96x96, 258745, 0
6, 96x96, 257981, 0
6, 96x96, 275295, 0
6, 96x96, 258820, 0
6, 96x96, 569439, 0
6, 96x96, 302867, 0
6, 96x96, 257964, 0
6, 96x96, 256976, 0
6, 96x96, 257416, 0
6, 96x96, 265658, 0
6, 96x96, 256834, 0
6, 96x96, 258378, 0
6, 96x96, 304692, 0
6, 96x96, 266110, 0
6, 96x96, 257078, 0
6, 96x96, 257278, 0
6, 96x96, 266312, 0
6, 96x96, 304724, 0
6, 96x96, 267510, 0
6, 96x96, 258227, 0
6, 96x96, 258855, 0
6, 96x96, 257955, 0
6, 96x96, 298769, 0
6, 96x96, 265065, 0
6, 96x96, 257174, 0
6, 96x96, 304305, 0
6, 96x96, 274658, 0
6, 96x96, 257521, 0
6, 96x96, 188501, 0
6, 96x96, 257567, 0
6, 96x96, 269790, 0
6, 96x96, 272050, 0
7, 112x112, 345151, 0
7, 112x112, 355423, 0
7, 112x112, 352654, 0
7, 112x112, 344774, 0
7, 112x112, 344690, 0
7, 112x112, 388876, 0
7, 112x112, 355820, 0
7, 112x112, 345252, 0
7, 112x112, 351056, 0
7, 112x112, 425273, 0
7, 112x112, 395129, 0
7, 112x112, 344826, 0
7, 112x112, 385904, 0
7, 112x112, 345252, 0
7, 112x112, 358421, 0
7, 112x112, 360063, 0
7, 112x112, 341531, 0
7, 112x112, 399152, 0
7, 112x112, 388086, 0
7, 112x112, 344922, 0
7, 112x112, 503796, 0
7, 112x112, 545281, 0
7, 112x112, 390892, 0
7, 112x112, 344433, 0
7, 112x112, 354057, 0
7, 112x112, 355131, 0
7, 112x112, 357654, 0
7, 112x112, 745966, 0
7, 112x112, 390264, 0
7, 112x112, 352798, 0
7, 112x112, 395372, 0
7, 112x112, 345975, 0
7, 112x112, 387562, 0
7, 112x112, 355887, 0
7, 112x112, 345399, 0
7, 112x112, 345689, 0
7, 112x112, 344757, 0
7, 112x112, 393075, 0
7, 112x112, 347566, 0
7, 112x112, 352535, 0
7, 112x112, 356100, 0
7, 112x112, 345706, 0
7, 112x112, 345466, 0
7, 112x112, 207033, 0
7, 112x112, 352949, 0
7, 112x112, 392328, 0
7, 112x112, 322084, 0
7, 112x112, 344069, 0
7, 112x112, 352773, 0
7, 112x112, 402765, 0
7, 112x112, 351433, 0
7, 112x112, 344059, 0
7, 112x112, 345964, 0
7, 112x112, 385571, 0
7, 112x112, 358120, 0
7, 112x112, 356340, 0
7, 112x112, 355858, 0
7, 112x112, 352405, 0
7, 112x112, 344636, 0
7, 112x112, 351881, 0
7, 112x112, 346528, 0
7, 112x112, 388733, 0
7, 112x112, 344603, 0
